編號,機關代碼,縣市別代碼,行政區域代碼,鄉鎮市區,交易標的,土地區段位置-建物區段門牌,土地移轉總面積-平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,民國年月,移轉層次,總層數,建物型態,主要用途,主要建材,建築完成年月,屋齡,建物移轉總面積-平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價-元,單價-每平方公尺,車位類別,車位移轉總面積-平方公尺,車位總價-元,備註,地所狀態,id,Response_Address,Response_X,Response_Y,lng,lat
3549,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區神林南路４３巷４５號一樓之７,29.5,住,,,11004,一層,6.0,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,800830.0,30,133.73,4,2,3,有,有,15000,112.0,,0.0,0,,2(資料揭露),16,臺中市大雅區上雅里7鄰神林南路43巷45號,214878.75,2680287.26,120.65418966005342,24.227728364377327
3550,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區神林南路４３巷４５號三樓之１３,24.53,住,,,11004,三層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,800830.0,30,105.34,3,2,2,有,有,12000,114.0,,0.0,0,,2(資料揭露),17,臺中市大雅區上雅里7鄰神林南路43巷45號,214878.75,2680287.26,120.65418966005342,24.227728364377327
3551,387000000A,66000,66000000,大雅區,建物,臺中市大雅區神林南路４３巷４５號６樓之１０,0.0,住,,,11008,六層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,800830.0,30,103.08,3,2,2,有,無,12000,116.0,,0.0,0,,2(資料揭露),18,臺中市大雅區上雅里7鄰神林南路43巷45號,214878.75,2680287.26,120.65418966005342,24.227728364377327
3552,387000000A,66000,66000000,大雅區,建物,臺中市大雅區昌平路三段５９６巷２２弄２０號,0.0,農,,,11008,全,3.0,透天厝,住宅　梯間　停車空間,鋼筋混凝土造,841226.0,26,168.74,4,1,3,有,無,20000,119.0,,0.0,0,110年度台中市政府包租代管計畫,5(揭露且明細顯示備註),19,臺中市大雅區西寶里15鄰昌平路三段596巷22弄20號,216874.527,2678498.782,120.67388131260023,24.211623253513366
3553,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區龍善三街２３號,2364.0,農,,,11010,見其他登記事項,1.0,倉庫,農業設施〈資材室、溫室、網室、菇類栽培場、堆肥室〈舍〉〉,鋼骨造,1070604.0,3,1418.39,0,0,0,無,有,172000,,,0.0,0,,2(資料揭露),20,臺中市大雅區四德里11鄰龍善三街23號,214672.446,2678826.228,120.65219420790294,24.21453186025873
3554,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區神林路一段５４０巷６８弄２２號,49.0,,特定農業區,甲種建築用地,11011,全,3.0,透天厝,住房、梯間、停車空間,鋼筋混凝土造,940728.0,16,139.27,4,2,3,有,無,17000,122.0,,0.0,0,社會住宅包租代管案件租金市價打9折。,5(揭露且明細顯示備註),21,臺中市大雅區員林里2鄰神林路一段540巷68弄22號,215743.098,2682219.581,120.66265408893106,24.245194656249943
3555,387000000A,66000,66000000,大雅區,建物,臺中市大雅區雅環路二段２２１巷２號１０樓之２,0.0,住,,,11011,十層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831215.0,27,146.06,3,1,2,有,有,18000,123.0,,0.0,0,社宅案件,5(揭露且明細顯示備註),22,臺中市大雅區上雅里12鄰雅環路二段221巷2號,214501.068,2680422.455,120.65046765435925,24.22894056727177
3556,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區神林南路１８９號五樓,19.0,住,,,11010,五層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701219.0,40,83.46,3,2,1,有,無,10800,129.0,,0.0,0,社會住宅包租代管案件租金市價打9折,5(揭露且明細顯示備註),23,臺中市大雅區雅楓里18鄰神林南路189號,215169.198,2680027.322,120.6570557108844,24.2253878142135
3557,387000000A,66000,66000000,大雅區,房地(土地+建物)+車位,臺中市大雅區中清路三段１１３２巷１２號１１樓之２,24.28,商,,,11008,十一層,14.0,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1030122.0,8,172.35,3,2,3,有,有,23000,133.0,坡道平面,26.46,0,,2(資料揭露),24,臺中市大雅區大雅里16鄰中清路三段1132巷12號,214170.076,2679788.227,120.64722444062782,24.223206517366638
3558,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區神林南路４３巷４５號五樓之７,20.35,住,,,11007,五層,6.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,800830.0,30,97.09,3,2,2,有,有,13000,134.0,,0.0,0,"含管理費,有1個機車位",5(揭露且明細顯示備註),25,臺中市大雅區上雅里7鄰神林南路43巷45號,214878.75,2680287.26,120.65418966005342,24.227728364377327
3559,387000000A,66000,66000000,大雅區,建物,臺中市大雅區雅潭路四段６６１巷３２號６樓之２,0.0,住,,,11011,六層,12.0,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1030224.0,8,111.16,2,2,2,有,有,15000,135.0,坡道機械,17.12,0,社宅案件,5(揭露且明細顯示備註),26,臺中市大雅區二和里12鄰雅潭路四段661巷32號,214645.685,2679462.132,120.65191514338738,24.220272933602935
3560,387000000A,66000,66000000,大雅區,建物,臺中市大雅區月祥路９０２巷５號,0.0,住,,,11008,全,2.0,透天厝,住家用,加強磚造,740814.0,36,111.44,2,2,3,有,無,15000,135.0,,0.0,0,,2(資料揭露),27,臺中市大雅區六寶里17鄰月祥路902巷5號,212329.772,2681701.495,120.62905534317662,24.24043857791067
3561,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區神林南路５６３號８樓之１,18.07,住,,,11005,八層,8.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830905.0,27,144.69,3,2,2,有,有,20000,138.0,,0.0,0,,2(資料揭露),28,臺中市大雅區四德里8鄰神林南路563號,214758.092,2679313.736,120.6530254728741,24.218935569068808
3563,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區大林路６６巷６８之７號,53.35,農,,,11001,全,4.0,透天厝,見其他登記事項,見其他登記事項,990419.0,11,160.52,4,3,2,有,無,23000,143.0,,0.0,0,,2(資料揭露),30,臺中市大雅區員林里23鄰大林路66巷68之7號,213952.831,2680680.0,120.64506319388218,24.231253486515502
3564,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區學府路４６７巷７號３樓之２,24.87,住,,,11011,三層,12.0,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1041209.0,6,106.41,2,1,2,有,有,15300,144.0,,0.0,0,社會住宅包租代管案件租金市價打9折。,5(揭露且明細顯示備註),31,臺中市大雅區上雅里17鄰學府路467巷7號,214141.757,2680326.506,120.64693221978457,24.228066067326644
3565,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區中清路五段７９巷２１號,75.38,住,,,11001,全,2.0,透天厝,住家用,加強磚造,671205.0,42,89.2,5,3,3,有,無,13000,146.0,,0.0,0,,2(資料揭露),32,臺中市大雅區六寶里27鄰中清路五段79巷21號,212266.386,2681837.737,120.62842760932786,24.241667198337122
3566,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區前村路１３號,84.0,住,,,11007,全,3.0,透天厝,避難室　人行道　店舖　住宅　梯間,鋼筋混凝土造,790116.0,31,202.55,5,3,3,有,無,30000,148.0,,0.0,0,,2(資料揭露),33,臺中市大雅區大楓里8鄰前村路13號,215898.079,2680889.953,120.66421175237221,24.233192634823535
3567,387000000A,66000,66000000,大雅區,建物,臺中市大雅區雅潭路四段６６１巷３８號３樓之１,0.0,住,,,11011,三層,12.0,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1030224.0,8,134.06,2,2,2,有,有,20000,149.0,坡道機械,17.12,0,社宅案件,5(揭露且明細顯示備註),34,臺中市大雅區二和里12鄰雅潭路四段661巷38號,214636.954,2679440.171,120.65182972161347,24.220074447918403
3568,387000000A,66000,66000000,大雅區,房地(土地+建物)+車位,臺中市大雅區楓林街１８８號五樓之２,19.95,住,,,11010,五層,14.0,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091208.0,1,124.35,2,2,2,有,有,19000,153.0,坡道平面,34.44,0,,2(資料揭露),35,臺中市大雅區上楓里26鄰楓林街188號,216265.046,2681169.205,120.66781854119377,24.235721970255206
3569,387000000A,66000,66000000,大雅區,房地(土地+建物)+車位,臺中市大雅區雅環路三段２巷６號五樓之１,35.31,住,,,11007,五層,14.0,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1061017.0,4,161.84,3,2,2,有,有,25000,154.0,坡道平面,37.41,0,"含管理費,有1個機車位",5(揭露且明細顯示備註),36,臺中市大雅區上雅里13鄰雅環路三段2巷6號,214190.622,2680522.798,120.64740846667473,24.229839529463653
3570,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區學府路７６巷５７號９樓之２,17.79,住,,,11008,九層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,801226.0,30,113.09,3,2,1,有,有,17500,155.0,,0.0,0,,2(資料揭露),37,臺中市大雅區四德里6鄰學府路76巷57號,214673.046,2679221.362,120.65219042850474,24.218099600120205
3571,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區前村東路３１巷３０之６號,90.0,農,,,11007,全,4.0,透天厝,住家用,鋼筋混凝土造,870119.0,23,159.09,4,2,3,有,無,25000,157.0,,0.0,0,,2(資料揭露),38,臺中市大雅區大楓里18鄰前村東路31巷30之6號,215996.899,2679786.677,120.6652108304985,24.223233129414044
3572,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區神林南路１９７巷４５號五樓,20.1,住,,,11004,五層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701116.0,39,80.84,3,2,1,有,無,13000,161.0,,0.0,0,,2(資料揭露),39,臺中市大雅區雅楓里17鄰神林南路197巷45號,215112.75,2679974.671,120.65650120658464,24.224911167670836
3573,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區民興街１１３號,41.8,住,,,11006,全,5.0,透天厝,住商用,鋼筋混凝土造,820315.0,28,93.95,3,0,2,有,無,16000,170.0,,0.0,0,,2(資料揭露),40,臺中市大雅區大雅里12鄰民興街113號,214359.505,2680141.828,120.64908075084925,24.226403540614793
3574,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區中清路三段８１９巷２０號,2576.8,其他,,,11010,見其他登記事項,2.0,工廠,梯間　廠房　單身員工宿舍　避難室　辦公廳,鋼筋混凝土造,760916.0,34,1925.15,0,0,0,無,無,330000,,,0.0,0,,2(資料揭露),41,臺中市大雅區四德里16鄰中清路三段819巷20號,214266.619,2678729.294,120.64820123376617,24.21364745244133
3575,387000000A,66000,66000000,大雅區,房地(土地+建物)+車位,臺中市大雅區楓林街１８８號三樓之３,19.95,住,,,11007,三層,14.0,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091208.0,1,125.9,2,2,1,有,有,22000,175.0,坡道平面,34.44,0,"含管理費,有1個機車位",5(揭露且明細顯示備註),42,臺中市大雅區上楓里26鄰楓林街188號,216265.046,2681169.205,120.66781854119377,24.235721970255206
3577,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區神林南路１１２號,25.6,住,,,11006,見其他登記事項,10.0,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,830426.0,27,142.17,2,1,2,有,有,25000,176.0,,0.0,0,含管理費,5(揭露且明細顯示備註),44,臺中市大雅區雅楓里11鄰神林南路112號,215065.932,2680167.265,120.6560355732874,24.226649086819744
3578,387000000A,66000,66000000,大雅區,房地(土地+建物)+車位,臺中市大雅區楓林街１８８號五樓之２,19.95,住,,,11006,五層,14.0,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1091208.0,0,124.35,2,2,2,有,有,22000,177.0,坡道平面,34.44,0,含管理費,5(揭露且明細顯示備註),45,臺中市大雅區上楓里26鄰楓林街188號,216265.046,2681169.205,120.66781854119377,24.235721970255206
3579,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區民富街１６１號,126.0,住,,,11005,全,4.0,透天厝,見其他登記事項,鋼筋混凝土造,810601.0,29,224.68,8,1,3,有,無,40000,178.0,,0.0,0,,2(資料揭露),46,臺中市大雅區大楓里8鄰民富街161號,216025.247,2680905.271,120.66546354762283,24.233333700230123
3580,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區前村路３７號,76.0,住,,,11005,全,3.0,透天厝,住宅、梯間,鋼筋混凝土造,931101.0,17,166.25,5,2,3,有,無,30000,180.0,,0.0,0,,2(資料揭露),47,臺中市大雅區大楓里8鄰前村路37號,216004.622,2680835.852,120.66526210291455,24.232706459356866
3581,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區大雅路２７１號,86.39,住,,,11005,全,2.0,透天厝,住商用,鋼筋混凝土造,690430.0,41,184.64,4,2,2,有,無,34000,184.0,,0.0,0,,2(資料揭露),48,臺中市大雅區員林里24鄰大雅路271號,213971.359,2680340.031,120.64525413207497,24.22818428643773
3582,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區雅潭路四段５７６巷４７弄９號,71.0,住,,,11010,全,3.0,透天厝,住家用,加強磚造,681217.0,42,92.09,3,3,4,有,無,17000,185.0,,0.0,0,3樓有增建,5(揭露且明細顯示備註),49,臺中市大雅區二和里6鄰雅潭路四段576巷47弄9號,214989.926,2679646.157,120.65529988646142,24.22194223253728
3583,387000000A,66000,66000000,大雅區,建物,臺中市大雅區神林南路１７３巷１弄２８號４樓,0.0,住,,,11010,四層,5.0,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,700420.0,40,59.09,3,1,1,有,無,11000,186.0,,0.0,0,社宅案件,5(揭露且明細顯示備註),50,臺中市大雅區雅楓里14鄰神林南路173巷1弄28號,215253.948,2680067.134,120.65788918785812,24.225749159866083
3584,387000000A,66000,66000000,大雅區,建物,臺中市大雅區中山北路１１７巷１８號５樓之４,0.0,住,,,11008,五層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691007.0,41,52.45,2,1,1,有,無,10000,191.0,,0.0,0,住宅及都市更新中心110年社會住宅包租代管第三期計畫,5(揭露且明細顯示備註),51,臺中市大雅區文雅里2鄰中山北路117巷18號,214147.685,2679135.659,120.6470202243813,24.217313874780235
3585,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區民生路三段２６７巷６號及６-１號,4361.0,工,,,11011,見其他登記事項,2.0,工廠,停車空間、消防機房、台電配電室、工廠、工廠附屬辦公室、樓梯間、守衛室,鋼骨鋼筋混凝土造、鋼筋混凝土造,1020527.0,8,3853.13,0,0,0,無,無,735000,,,0.0,0,"第一年至第三年,租金735,000第四年至第六年,租金757,050第七年至第九年,租金779,762第十年,租金803,155 (以上租金皆含稅)3584建號僅承租部分",5(揭露且明細顯示備註),52,臺中市大雅區雅楓里2鄰民生路三段267巷6號,215543.929,2680860.359,120.66072533195822,24.232917694324495
3586,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區中山北路１４６號二樓之４,11.3,住,,,11008,二層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700115.0,41,41.79,1,1,1,有,無,8000,191.0,,0.0,0,,2(資料揭露),53,臺中市大雅區文雅里3鄰中山北路146號,214178.111,2679209.852,120.64731793116673,24.2179844684149
3587,387000000A,66000,66000000,大雅區,建物,臺中市大雅區月祥路７７７巷９號,0.0,住,,,11011,見其他登記事項,1.0,其他,住宅,木石磚造（磚石造）,6208.0,48,37.8,1,1,1,有,無,7500,198.0,,0.0,0,1.110年度台中市政府包租代管計畫2.建物型態為平房,5(揭露且明細顯示備註),54,臺中市大雅區六寶里21鄰月祥路777巷9號,212132.611,2681630.458,120.62711576895487,24.239792433209093
3588,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區雅環路三段大明一巷２號,38.21,住,,,10912,全,3.0,透天厝,住家用,鋼筋混凝土造,780131.0,32,74.97,4,0,1,有,無,15000,200.0,,0.0,0,,2(資料揭露),55,臺中市大雅區員林里29鄰雅環路三段大明一巷2號,214116.329,2680480.031,120.6466780286372,24.229451684554014
3589,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區雅環路三段大明一巷２號,38.21,住,,,10912,全,3.0,透天厝,住家用,鋼筋混凝土造,780131.0,32,74.97,4,0,1,有,無,15000,200.0,,0.0,0,,2(資料揭露),56,臺中市大雅區員林里29鄰雅環路三段大明一巷2號,214116.329,2680480.031,120.6466780286372,24.229451684554014
3590,387000000A,66000,66000000,大雅區,房地(土地+建物)+車位,臺中市大雅區楓林街１８８號五樓之１,19.95,住,,,11004,五層,14.0,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1091208.0,0,124.35,2,2,2,有,有,25000,201.0,坡道平面,34.44,0,,2(資料揭露),57,臺中市大雅區上楓里26鄰楓林街188號,216265.046,2681169.205,120.66781854119377,24.235721970255206
3592,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區中山北路１４５號,173.62,住,,,11011,見其他登記事項,2.0,店面(店鋪),住商用,加強磚造,650920.0,45,101.48,0,0,0,無,無,22000,217.0,,0.0,0,,2(資料揭露),59,臺中市大雅區文雅里3鄰中山北路145號,214163.677,2679205.591,120.64717593023963,24.217945666062654
3593,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區永和路１３０之１２號,11.57,住,,,11001,四層,4.0,套房(1房1廳1衛),住商用,鋼筋混凝土造,820224.0,28,30.88,1,0,1,有,無,7000,227.0,,0.0,0,含機車位5號,5(揭露且明細顯示備註),60,臺中市大雅區文雅里22鄰永和路130之12號,213705.967,2679421.529,120.64266420656634,24.21988489494928
3594,387000000A,66000,66000000,大雅區,建物,臺中市大雅區中山北路１１７巷１８號３樓之６,378.49,住,,,11007,三層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,691007.0,41,46.3,2,1,1,有,無,11000,238.0,,0.0,0,,2(資料揭露),61,臺中市大雅區文雅里2鄰中山北路117巷18號,214147.685,2679135.659,120.6470202243813,24.217313874780235
3595,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區仁愛路１１７號,50.59,住,,,11009,全,3.0,透天厝,住商用,加強磚造,720910.0,38,64.38,6,0,2,有,無,16000,249.0,,0.0,0,,2(資料揭露),62,臺中市大雅區忠義里20鄰仁愛路117號,211492.087,2681108.813,120.62082252291219,24.235066865226315
3596,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區仁愛路１１７號,50.59,住,,,11009,全,3.0,透天厝,住商用,加強磚造,720910.0,38,55.44,0,0,0,無,無,15000,271.0,,0.0,0,,2(資料揭露),63,臺中市大雅區忠義里20鄰仁愛路117號,211492.087,2681108.813,120.62082252291219,24.235066865226315
3597,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區神林路一段６９號,510.0,,特定農業區,甲種建築用地,11007,見其他登記事項,2.0,農舍,農舍,加強磚造,650913.0,45,145.09,5,2,3,有,無,40000,,,0.0,0,含增建或未登記建物。;,2(資料揭露),64,臺中市大雅區員林里10鄰神林路一段69號,214825.149,2680757.137,120.6536504246642,24.23196975043541
3598,387000000A,66000,66000000,大雅區,房地(土地+建物)+車位,臺中市大雅區科雅東路５０號,0.0,其他,,,11010,見其他登記事項,4.0,工廠,工場、辦公室、守衛室、停車空間、儲藏室、樓梯間、機械室、水箱、停車場、工廠（工場棟）、儲藏室（工）、無障礙電梯（工）、無,鋼筋混凝土造、鋼骨造,980511.0,12,7722.3,0,0,0,無,無,2300000,,坡道平面,0.0,0,租金為未稅價，僅承租三樓、四樓部分面積，車位位於頂層已取得使照，尚未辦理保存登記,5(揭露且明細顯示備註),65,臺中市大雅區秀山里14鄰科雅東路50號,212395.897,2679872.615,120.62975424052945,24.22392699660801
3599,387000000A,66000,66000000,大雅區,建物,臺中市大雅區雅環路一段２５９巷３２號,0.0,住,,,11011,全,1.0,透天厝,住家用,加強磚造,640107.0,47,54.27,3,1,1,有,無,18000,332.0,,0.0,0,社宅案件,5(揭露且明細顯示備註),66,臺中市大雅區二和里10鄰雅環路一段259巷32號,214714.87,2679662.123,120.65259140410868,24.222080237799727
3600,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區中清路四段８３１巷２３號,125.88,住,,,11004,全,2.0,透天厝,住家用,磚造,620205.0,48,47.85,6,2,1,有,無,16000,334.0,,0.0,0,含2樓增建,5(揭露且明細顯示備註),67,臺中市大雅區六寶里13鄰中清路四段831巷23號,212528.839,2681513.723,120.63102044400219,24.238747929516883
3601,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區中山北路１７５號,14.76,住,,,11004,見其他登記事項,4.0,店面(店鋪),見其他登記事項,鋼筋混凝土造,780729.0,32,37.79,0,0,0,無,無,13000,344.0,,0.0,0,,2(資料揭露),68,臺中市大雅區文雅里6鄰中山北路175號,214132.42,2679274.867,120.64686647172977,24.218570456100068
3603,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區神林南路１０３巷１６號五樓之１,8.41,住,,,11011,五層,5.0,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1100616.0,0,27.47,1,0,1,有,無,10000,364.0,,0.0,0,社會住宅包租代管公會版。土地面積依套房數比例計算(17間),5(揭露且明細顯示備註),70,臺中市大雅區雅楓里7鄰神林南路103巷16號,215083.356,2680269.228,120.65620465740017,24.22757011316566
3604,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區神林南路１０３巷１６號二樓之３,8.41,住,,,11010,二層,5.0,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1100616.0,0,22.82,1,0,1,有,無,9000,394.0,,0.0,0,社會住宅包租代管公會版。土地面積依套房數(17間)比例計算,5(揭露且明細顯示備註),71,臺中市大雅區雅楓里7鄰神林南路103巷16號,215083.356,2680269.228,120.65620465740017,24.22757011316566
3605,387000000A,66000,66000000,大雅區,房地(土地+建物),臺中市大雅區神林南路１０３巷１０號五樓之３,8.67,住,,,11010,五層,5.0,套房(1房1廳1衛),集合住宅,鋼筋混凝土造,1100616.0,0,24.12,1,0,1,有,無,10000,415.0,,0.0,0,社會住宅包租代管公會版。土地面積依套房數比例計算(27間),5(揭露且明細顯示備註),72,臺中市大雅區雅楓里7鄰神林南路103巷10號,215076.943,2680264.233,120.65614163590006,24.227524869988294
